Switch Adapted Peppa Pig,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V1.0,,Last Updated: 2022-Nov-28,,,,,, $27.72 , $37.18 ,0.00,0,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,Peppa Pig Oink-Along Songs Singing Plush Doll,Toy,1,1, $24.94 ,1, $24.94 , $24.94 , $24.94 ,https://a.co/d/gVYby6S ,,,
,3.5mm Female Plug to Bare Wire Cable,Electrical,1,4, $10.99 ,1, $2.75 , $2.75 , $10.99 ,https://a.co/d/bglRpvv ,,,
,Small Cable Tie/Zip Tie (15 cm works well),Mechanical,1,40, $1.25 ,1, $0.03 , $0.03 , $1.25 ,Local dollar store,,,
,,,,,,0, $-   , $-   , $-   ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
Custom Printed Circuit Board (PCB),,,,,,,,,,,,,
ID,Part,,QTY,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,Small Philips or flathead screwdriver,,,,,,,,,,,,
,"Drill with 1/8"" drill bit",,,,,,,,,,,,
,Flush cutters,,,,,,,,,,,,
,Wire strippers,,,,,,,,,,,,
,Soldering iron and solder,,,,,,,,,,,,
,,,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,,,,,,,,,Link,,,
,Peppa Pig Oink-Along Songs Singing Plush Doll,https://www.walmart.ca/en/ip/peppa-pig-oink-along-songs-singing-plush-doll-with-sparkly-red-dress-and-bow-english-multi/6000203116305?rrid=richrelevance ,,,,,,,,,,,
,Peppa Pig Oink-Along Songs Singing Plush Doll,https://www.toysrus.ca/en/Peppa-Pig-Oink-Along-Songs-Peppa-Singing-Plush-Doll-with-Sparkly-Red-Dress-and-Bow--Sings-3-Songs---English-Edition/C442196D.html ,,,,,,,,,,,
,Cable ties,https://www.walmart.ca/en/ip/stanley-8-cable-ties-black/6000197428790 ,,,,,,,,,,,
